Class,Precision,Recall,F1_Score
A,0.7889908256880734,0.86,0.8229665071770335
B,0.8817204301075269,0.82,0.8497409326424871
C,0.8811881188118812,0.89,0.8855721393034826
D,0.9117647058823529,0.93,0.9207920792079208
E,0.8461538461538461,0.88,0.8627450980392157
F,0.9791666666666666,0.94,0.9591836734693877
G,0.7391304347826086,0.68,0.7083333333333334
H,0.7739130434782608,0.89,0.827906976744186
I,0.6491228070175439,0.74,0.6915887850467289
J,0.8979591836734694,0.88,0.8888888888888888
K,0.9354838709677419,0.87,0.9015544041450777
L,0.7526881720430108,0.7,0.7253886010362695
M,0.93,0.93,0.93
N,0.8829787234042553,0.83,0.8556701030927835
O,0.8715596330275229,0.95,0.9090909090909091
P,0.9081632653061225,0.89,0.898989898989899
Q,0.6701030927835051,0.65,0.6598984771573604
R,0.819047619047619,0.86,0.8390243902439024
S,0.9595959595959596,0.95,0.9547738693467337
T,0.8514851485148515,0.86,0.8557213930348259
U,0.900990099009901,0.91,0.9054726368159204
V,0.8761904761904762,0.92,0.8975609756097561
W,0.9191919191919192,0.91,0.914572864321608
X,0.9591836734693877,0.94,0.9494949494949495
Y,0.9302325581395349,0.8,0.8602150537634409
Z,0.9387755102040817,0.92,0.9292929292929293
